_time,_control,_left_pos,_right_pos,_left_vel,_right_vel
13.0,0.0,0.008726645,0.008726645,1.051657,1.050264
21.0,0.0,0.02185469,0.01749137,2.725374,2.180844
36.0,0.0,0.03940359,0.03942255,4.952069,4.95707
45.0,0.0,0.05253181,0.04816857,6.288719,5.765352
61.0,0.0,0.06567931,0.05695258,8.08422,7.010654
68.0,0.0,0.06137311,0.06133503,7.758004,7.753081
84.0,0.0,0.07009992,0.06571755,8.86629,8.321659
93.0,0.0,0.07884569,0.07446324,9.26833,8.751356
109.0,0.0,0.07452069,0.07450157,9.28948,9.303461
117.0,0.0,0.07886497,0.07450157,9.868051,9.313975
133.0,0.0,0.07890306,0.07884586,9.82116,9.81625
141.0,0.0,0.08324742,0.07888385,10.1361,9.608493
156.0,0.0,0.08761074,0.07884594,10.88246,9.788113
165.0,0.0,0.08764874,0.08324718,10.23413,9.730415
181.0,0.0,0.08761083,0.0788841,10.64615,9.58738
189.0,0.0,0.08764874,0.08324734,10.80432,10.25775
205.0,0.0,0.08764891,0.0788841,10.96864,9.879222
213.0,0.0,0.08764891,0.08324734,10.79229,10.24507
229.0,0.0,0.08762987,0.08324742,10.83383,10.29725
237.0,0.0,0.08764882,0.08326637,10.75903,10.21352
253.0,0.0,0.08764891,0.08324742,10.82308,10.2883
261.0,0.0,0.08764891,0.07890306,11.29371,10.15776
277.0,0.0,0.08764891,0.08326637,10.81771,10.2832
285.0,0.0,0.09201222,0.08326647,11.39249,10.30109
301.0,0.0,0.08328567,0.07890314,10.79609,10.2332
309.0,0.0,0.0919932,0.08324742,11.24706,10.17092
325.0,0.0,0.08764898,0.07892217,10.92196,9.835919
332.0,0.0,0.08764891,0.08324751,11.47488,10.89111
349.0,0.0,0.08766795,0.08326647,10.79363,10.26029
357.0,0.0,0.08328567,0.07890314,10.88682,10.30571
373.0,0.0,0.08766786,0.08326637,10.78429,10.25268
380.0,0.0,0.08764898,0.07890314,11.21101,10.07955
397.0,0.0,0.09201222,0.08328542,11.31791,10.24507
405.0,0.0,0.09203127,0.07890323,11.31232,9.690292
421.0,0.0,0.09199327,0.08326637,11.09319,10.044
428.0,0.0,0.08330454,0.07890314,10.83985,10.2586
445.0,0.0,0.08766786,0.08328542,10.87975,10.3435
453.0,0.0,0.09201231,0.08326654,11.15668,10.08677
469.0,0.0,0.08764898,0.08324742,10.7524,10.22234
476.0,0.0,0.08764891,0.07890306,11.37319,10.22787
493.0,0.0,0.09201222,0.08328542,11.28446,10.21478
501.0,0.0,0.08766795,0.07890323,11.12667,10.00762
516.0,0.0,0.08330462,0.07455876,10.95154,9.801334
525.0,0.0,0.09199327,0.08759178,11.22914,10.69049
541.0,0.0,0.08330471,0.07890323,10.71377,10.15776
549.0,0.0,0.09199327,0.08761074,11.09051,10.556
565.0,0.0,0.08764898,0.08324751,10.8419,10.30749
573.0,0.0,0.09201222,0.08326637,11.07442,10.01367
589.0,0.0,0.08764898,0.08326647,10.71675,10.18716
597.0,0.0,0.08764891,0.07890314,11.28348,10.14989
612.0,0.0,0.08330462,0.07892209,10.91693,10.34644
621.0,0.0,0.0963566,0.08761083,11.35341,10.31641
637.0,0.0,0.09199336,0.08324751,11.23602,10.17341
644.0,0.0,0.08330454,0.07890306,10.82286,10.24388
661.0,0.0,0.08766786,0.07892209,11.23265,10.1172
669.0,0.0,0.09201231,0.08761083,11.01452,10.48372
685.0,0.0,0.09201231,0.08324751,11.34172,10.26919
693.0,0.0,0.08330462,0.07890306,10.66004,10.0912
709.0,0.0,0.08332358,0.07892209,10.88253,10.31518
717.0,0.0,0.09199336,0.08761083,10.98283,10.45358
733.0,0.0,0.08764898,0.08761083,10.67088,10.67872
741.0,0.0,0.09201222,0.07892209,11.51273,9.860618
757.0,0.0,0.09199327,0.08326637,11.19621,10.1361
765.0,0.0,0.08766786,0.07890314,11.30102,10.16434
781.0,0.0,0.08766795,0.08328542,11.19518,10.64225
789.0,0.0,0.08764898,0.07890323,11.15084,10.03063
805.0,0.0,0.08766795,0.08762971,10.76566,10.77231
813.0,0.0,0.08764898,0.07892217,11.13945,10.01911
829.0,0.0,0.08764891,0.07890306,11.40887,10.27605
837.0,0.0,0.09201222,0.08761074,10.91091,10.38516
853.0,0.0,0.09201231,0.08326654,11.16483,10.10891
861.0,0.0,0.08766795,0.08326647,10.88518,10.33319
877.0,0.0,0.09201222,0.08326647,11.15939,10.10152
885.0,0.0,0.08766795,0.07890314,11.21533,10.08861
901.0,0.0,0.09201222,0.08762971,10.93956,10.4261
909.0,0.0,0.08766795,0.0832855,11.06881,10.5087
925.0,0.0,0.09201222,0.08761074,11.26088,10.72992
933.0,0.0,0.08766795,0.08328542,11.05198,10.49407
949.0,0.0,0.08330462,0.0788841,10.79609,10.23587
957.0,0.0,0.0963566,0.09197398,11.34804,10.82455
973.0,0.0,0.08763004,0.07888426,11.35691,10.22787
981.0,0.0,0.09201214,0.08324734,11.34734,10.26156
997.0,0.0,0.09201231,0.08762979,11.11742,10.59573
1005.0,0.0,0.08766795,0.07892217,11.13377,10.014
1021.0,0.0,0.09201222,0.08762971,10.90312,10.38887
1029.0,0.0,0.08766795,0.07892217,10.98797,9.884196
1045.0,0.0,0.09201222,0.08326637,11.22364,10.16219
1053.0,0.0,0.08766795,0.08326647,10.97415,10.41759
1073.0,0.0,0.08330462,0.1225554,10.75686,10.18278
1077.0,0.0,0.0963566,0.03980466,11.49618,9.65337
1092.0,0.0,0.08763004,0.08322755,11.02406,10.47815
1100.0,0.0,0.08764882,0.08326629,10.90286,10.35254
1117.0,0.0,0.09203127,0.07892217,11.549,9.901642
1124.0,0.0,0.08766803,0.08324751,11.15939,10.59736
1140.0,0.0,0.0919932,0.08326647,11.30953,10.22864
1148.0,0.0,0.08766786,0.07890314,11.02685,9.922909
1165.0,0.0,0.09637555,0.08762971,11.39249,10.35312
1173.0,0.0,0.08768699,0.07892217,10.97277,9.879222
1189.0,0.0,0.08766795,0.07892209,10.92333,9.839617
1197.0,0.0,0.08764898,0.08324751,10.94113,10.36678
1213.0,0.0,0.09201222,0.08326647,11.43514,10.35254
1220.0,0.0,0.08330462,0.07890314,10.86115,10.2653
1236.0,0.0,0.08766786,0.08326637,10.85134,10.31518
1244.0,0.0,0.08764898,0.08326647,10.93565,10.38106
1261.0,0.0,0.09203127,0.08761074,11.17436,10.64874
1269.0,0.0,0.09203135,0.08328542,11.33471,10.24761
1284.0,0.0,0.09197424,0.08322838,11.49684,10.40843
1292.0,0.0,0.0920311,0.0832663,11.30534,10.22234
1309.0,0.0,0.09201231,0.0832855,11.36423,10.28958
1316.0,0.0,0.08330462,0.07890323,10.95878,10.37514
1332.0,0.0,0.08766786,0.07890306,10.81905,9.743186
1341.0,0.0,0.09201231,0.08761074,11.05572,10.52418
1356.0,0.0,0.08330471,0.07890323,11.02729,10.45246
1364.0,0.0,0.09199327,0.08324742,11.38258,10.29213
1381.0,0.0,0.08766803,0.08762979,10.59316,10.60088
1388.0,0.0,0.08764898,0.07455885,11.48696,9.754931
1405.0,0.0,0.09201222,0.0832663,11.45802,10.37456
1413.0,0.0,0.09203127,0.08762979,11.22364,10.68133
1429.0,0.0,0.08764898,0.08324751,10.78829,10.25521
1437.0,0.0,0.09201222,0.08326637,11.20854,10.13486
1452.0,0.0,0.08330471,0.07890314,10.99511,10.42057
1461.0,0.0,0.09199327,0.08761074,10.97889,10.45107
1477.0,0.0,0.08764898,0.08759178,10.77098,10.78029
1485.0,0.0,0.09201222,0.08328533,11.30395,10.22108
1501.0,0.0,0.08766803,0.07890314,11.31714,10.19203
1509.0,0.0,0.09201231,0.08324742,11.15939,10.09045
1524.0,0.0,0.09199327,0.07890314,11.42231,9.795438
1533.0,0.0,0.09203118,0.08761074,11.13905,10.60604
1549.0,0.0,0.09201231,0.08324751,11.28863,10.21856
1557.0,0.0,0.09203127,0.08326637,11.12822,10.06228
1573.0,0.0,0.09199327,0.08326647,11.27612,10.211
1580.0,0.0,0.08766786,0.07890314,11.11675,9.996159
1597.0,0.0,0.09203127,0.08328542,11.26919,10.20346
1604.0,0.0,0.08330471,0.0745399,10.89254,9.737004
1629.0,0.0,0.09201231,0.08761083,11.07844,10.54835
1645.0,0.0,0.08764898,0.08324751,10.83383,10.30109
1653.0,0.0,0.09637555,0.08326637,11.59617,10.00762
1669.0,0.0,0.0920124,0.08326647,11.24706,10.18216
1677.0,0.0,0.08330462,47.0,10.71377,10.70685
1693.0,0.0,0.09203118,0.08326647,11.23878,10.17466
1701.0,0.0,0.08766803,0.08326647,11.03521,10.47683
1717.0,0.0,0.09201222,0.08324742,11.23189,10.16717
1725.0,0.0,0.09203127,0.08326637,11.14175,10.07573
1741.0,0.0,0.08764898,0.07890314,11.23554,10.1185
1749.0,0.0,0.09201222,0.08324742,11.00394,9.948775
1765.0,0.0,0.08764898,0.08326647,10.79897,10.26537
1773.0,0.0,0.08764891,0.07890314,11.20957,10.08213
1789.0,0.0,0.08332366,0.07892209,10.8754,10.30842
1797.0,0.0,0.09635668,0.08761083,11.49618,10.44607
1813.0,0.0,0.09199336,0.08324751,11.19895,10.13858
1821.0,0.0,0.09203118,0.08326637,11.50261,10.40059
1837.0,0.0,0.08764898,0.08761074,10.66045,10.66697
1845.0,0.0,0.08764891,0.07892209,11.29078,10.15382
1861.0,0.0,0.08766795,0.07892209,11.18944,10.07825
1869.0,0.0,0.08764898,0.07888418,11.14514,10.02423
1885.0,0.0,0.08332366,0.07892209,10.96747,10.39712
1893.0,0.0,0.09635668,0.08761083,11.4332,10.38887
1909.0,0.0,0.08764907,0.0745399,11.40589,9.701346
1917.0,0.0,0.09201222,0.08759171,10.89793,10.37281
1933.0,0.0,0.09201231,0.08326654,11.16211,10.10398
1941.0,0.0,0.09203127,0.08326647,11.41947,10.32546
1957.0,0.0,0.08328567,0.0788841,10.81722,10.25324
1965.0,0.0,0.09635652,0.08761066,11.51273,10.4611
1981.0,0.0,0.08764907,0.07890323,11.14799,10.03832
1989.0,0.0,0.09637555,0.08761074,11.3682,10.32984
2005.0,0.0,0.08328574,0.07890323,10.927,10.35872
2013.0,0.0,0.09635652,0.08761074,11.35744,10.31762
2029.0,0.0,0.08330479,0.07890323,10.79327,10.23187
2037.0,0.0,0.09199327,0.08324742,11.58112,10.47021
2053.0,0.0,0.08766803,0.08326647,11.35247,10.79187
2061.0,0.0,0.09201231,0.08326647,11.33751,10.25268
2077.0,0.0,0.09201231,0.08326647,11.11338,10.05984
2085.0,0.0,0.08766795,0.07890314,11.12383,10.00507
2101.0,0.0,0.08766795,0.08326637,11.10402,10.55553
2109.0,0.0,0.08764898,0.08326647,10.98106,10.42413
2125.0,0.0,0.09203127,0.08326647,11.21814,10.15472
2137.0,0.0,0.08766803,0.1268997,10.89741,10.27581
2148.0,0.0,0.07897937,0.0743693,11.0713,10.47395
2157.0,0.0,0.09197439,0.08322764,10.94348,9.896519
2172.0,0.0,0.08764898,0.08326647,10.99074,10.45701
2180.0,0.0,0.09201222,0.08326647,11.42801,10.3319
2197.0,0.0,0.08768707,0.0832855,10.98936,10.44646
2204.0,0.0,0.08764907,0.07890323,11.20381,10.06534
2220.0,0.0,0.08766795,0.08326637,10.74181,10.2173
2228.0,0.0,0.09201231,0.08326647,11.57234,10.45041
2245.0,0.0,0.09637564,0.08762979,11.36282,10.33473
2253.0,0.0,0.08768699,0.0832855,10.94662,10.39799
2268.0,0.0,0.08764891,0.08324742,10.87568,10.35901
2276.0,0.0,0.09201222,0.08326637,11.42943,10.33447
2292.0,0.0,0.09201231,0.07890314,11.39674,9.788113
2301.0,0.0,0.09203127,0.08761074,11.14446,10.6099
2317.0,0.0,0.08766803,0.08762987,10.85269,10.85944
2325.0,0.0,0.09201231,0.0832855,11.47093,10.37067
2340.0,0.0,0.08764898,0.08324742,11.40738,10.84126
2349.0,0.0,0.09201222,0.08326637,11.30395,10.22234
2365.0,0.0,0.08766803,0.08326647,10.95074,10.40974
2373.0,0.0,0.09201231,0.08326647,11.2928,10.21226
2389.0,0.0,0.09201231,0.07890314,11.36,9.744395
2397.0,0.0,0.08766795,0.08761074,10.73784,10.73256
2413.0,0.0,0.09203127,0.08326654,11.35437,10.2781
2421.0,0.0,0.08766803,0.07890314,11.27328,10.1394
2437.0,0.0,0.09203127,0.08762971,11.34734,10.81369
2445.0,0.0,0.08766803,0.0832855,10.83248,10.28447
2461.0,0.0,0.09201222,0.08324742,11.12012,10.06961
2469.0,0.0,0.09203127,0.08762971,11.22639,10.68525
2484.0,0.0,0.08764898,0.08322846,10.91104,10.37067
2493.0,0.0,0.09201222,0.08762962,11.20854,10.67088
2508.0,0.0,0.09201231,0.08324751,11.32071,10.24887
2517.0,0.0,0.09203127,0.08762971,11.19621,10.65655
2533.0,0.0,0.09203135,0.08326654,11.31651,10.24507
2541.0,0.0,0.08766803,0.07890314,11.18657,10.06147
2556.0,0.0,0.08766795,0.07892209,11.55694,10.40676
2565.0,0.0,0.08764898,0.08324751,10.75107,10.20849
2580.0,0.0,0.08766795,0.08326647,11.31274,10.75268
2589.0,0.0,0.09201231,0.08326647,11.14718,10.08064
2605.0,0.0,0.08768707,0.08326647,10.87026,10.33319
2613.0,0.0,0.08764907,0.08326647,11.36874,10.79187
2629.0,0.0,0.09201222,0.08324742,11.28168,10.21478
2637.0,0.0,0.09203127,0.08762971,11.11877,10.58417
2653.0,0.0,0.09201231,0.08324751,11.27058,10.20598
2660.0,0.0,0.08766795,0.08326637,11.10826,10.54345
2677.0,0.0,0.09203127,0.08762979,11.26503,10.7352
2684.0,0.0,0.08766803,0.07892217,11.4553,10.30165
2700.0,0.0,0.08766795,0.08326637,11.27182,10.71377
2709.0,0.0,0.09637564,0.08326647,11.59897,10.01125
2725.0,0.0,0.08764907,0.08326647,10.83114,10.29853
2733.0,0.0,0.09637555,0.08326647,11.58498,9.999173
2749.0,0.0,0.0920124,0.08762979,11.24016,10.7128
2757.0,0.0,0.08766795,0.07892217,11.26455,10.13156
2773.0,0.0,0.09203127,0.08762971,11.23327,10.7036
2781.0,0.0,0.08766803,0.0832855,11.02406,10.46625
2797.0,0.0,0.09201222,0.08324742,11.22914,10.16593
2805.0,0.0,0.08766795,0.08326637,11.36726,10.79047
2821.0,0.0,0.08768699,0.08326647,11.22543,10.67102
2829.0,0.0,0.0920124,0.08326647,10.99865,9.944002
2845.0,0.0,0.09201231,0.08326647,11.33191,10.26029
2853.0,0.0,0.08766795,0.08326647,11.19806,10.63133
2869.0,0.0,0.09637555,0.08761074,11.73797,10.6761
2877.0,0.0,0.08768699,0.07892209,11.18084,10.05632
2893.0,0.0,0.09203127,0.08328542,11.19621,10.1361
